name|phone num|rating|primary industry|genre|url|city|zipcode|state|address|borough|country|address remark
Joeseppi’s Pizzeria Restaurant|(718) 366-3939|1.0 star rating|restaurant|Pizza|/biz/joeseppis-pizzeria-restaurant-brooklyn|Bushwick|11237|NY|276 Knickerbocker AveBrooklyn, NY 11237|Brooklyn|US|
Mario’s Restaurant|(718) 366-1501|4.0 star rating|restaurant|ItalianPizza|/biz/marios-restaurant-brooklyn-2|Bushwick|11237|NY|146 Knickerbocker AveBrooklyn, NY 11237|Brooklyn|US|
Russo Napoli Pizza #2|(718) 996-5575||restaurant|Pizza|/biz/russo-napoli-pizza-2-brooklyn|Coney Island|11224|NY|2726 Mermaid AvenueBrooklyn, NY 11224|Brooklyn|US|
Chang Hua Restaurant|(718) 452-5818|4.0 star rating|restaurant|Restaurants|/biz/chang-hua-restaurant-brooklyn|Bedford Stuyvesant, Bushwick|11206|NY|914 BroadwayBrooklyn, NY 11206|Brooklyn|US|
Sushi and Teriyaki Factory|(718) 456-9898||restaurant|Sushi Bars|/biz/sushi-and-teriyaki-factory-bushwick|Bushwick|11237|NY|1492 Myrtle AveBushwick, NY 11237|Brooklyn|US|
CibaoGrocery Deli And Meat Market|(718) 453-0832||restaurant|DelisSandwiches|/biz/cibaogrocery-deli-and-meat-market-brooklyn|Bushwick|11207|NY|1144 Halsey StBrooklyn, NY 11207|Brooklyn|US|
Rosa Maria Restaurant|(718) 497-3978||restaurant|Restaurants|/biz/rosa-maria-restaurant-brooklyn|Bushwick|11237|NY|216 Wyckoff AvenueBrooklyn, NY 11237|Brooklyn|US|
Jalepeno Restaurant|(718) 418-1011|1.0 star rating|restaurant|Restaurants|/biz/jalepeno-restaurant-brooklyn|Bushwick|11237|NY|91 Wyckoff AvenueBrooklyn, NY 11237|Brooklyn|US|
Vasquez Grocery|(718) 366-0281|4.5 star rating|restaurant|Delis|/biz/vasquez-grocery-brooklyn|Bushwick|11221|NY|591 Knickerbocker AveBrooklyn, NY 11221|Brooklyn|US|
Grace Kitchen|(718) 789-6296||restaurant|Restaurants|/biz/grace-kitchen-brooklyn|Clinton Hill|11205|NY|484 Myrtle AvenueBrooklyn, NY 11205|Brooklyn|US|
Coney Island Site Housing|(718) 714-4578||restaurant|Restaurants|/biz/coney-island-site-housing-brooklyn-3|Coney Island|11224|NY|2850 W 24th StreetBrooklyn, NY 11224|Brooklyn|US|
El Vaquero Chicano|(718) 821-5344|1.0 star rating|restaurant|Mexican|/biz/el-vaquero-chicano-brooklyn|Bushwick|11237|NY|1541 Myrtle AveBrooklyn, NY 11237|Brooklyn|US|
156 TexMex Mexican Restaurant|(917) 893-9600||restaurant|Mexican|/biz/156-texmex-mexican-restaurant-bushwick|Bushwick|11237|NY|156 Knickerbocker AveBushwick, NY 11237|Brooklyn|US|
Crown Fried Chicken|(718) 552-2156||restaurant|Fast FoodChicken Wings|/biz/crown-fried-chicken-brooklyn-61|Bushwick|11221|NY|664 Knickerbocker AveBrooklyn, NY 11221|Brooklyn|US|
United Deli|(718) 453-7050||restaurant|DelisSandwiches|/biz/united-deli-brooklyn|Bushwick|11237|NY|276 Wilson AveBrooklyn, NY 11237|Brooklyn|US|
Deli Corp United|(718) 386-0327||restaurant|Delis|/biz/deli-corp-united-brooklyn|Bushwick|11237|NY|290 Knickerbocker AveBrooklyn, NY 11237|Brooklyn|US|
Fresh Deli|(718) 783-8081||restaurant|Delis|/biz/fresh-deli-brooklyn|Clinton Hill|11205|NY|490 Myrtle AveBrooklyn, NY 11205|Brooklyn|US|
El Centroamerica|(718) 821-1616||restaurant|Latin American|/biz/el-centroamerica-brooklyn|Bushwick|11237|NY|276 KnickerbockerBrooklyn, NY 11237|Brooklyn|US|
Bar Bolinas|(718) 935-9333||restaurant|American (New)|/biz/bar-bolinas-clinton-hill|Clinton Hill|11205|NY|455 Myrtle AveClinton Hill, NY 11205|Brooklyn|US|
Happy Garden|(718) 418-8886|4.0 star rating|restaurant|Chinese|/biz/happy-garden-brooklyn-6|Bushwick|11237|NY|144 Wyckoff AveBrooklyn, NY 11237|Brooklyn|US|
Chachas of Coney Island|(718) 946-1305|3.0 star rating|restaurant|Cafes|/biz/chachas-of-coney-island-brooklyn|Coney Island|11224|NY|1229 Boardwalk WBrooklyn, NY 11224|Brooklyn|US|
